Element	Occupation	Consensus
H1	32.5%	L:36%, I:33%, V:16%, A:6%
H2	47.0%	I:44%, L:42%, V:5%
H3	81.2%	L:79%, I:10%, V:6%
H4	93.5%	L:43%, M:32%, I:11%, V:8%
H5	88.2%	V:44%, L:21%, M:10%, I:10%, F:9%
H6	70.5%	A:35%, N:23%, T:8%, H:7%, R:5%
H7	10.5%	L:65%, A:12%, V:8%
H8	98.4%	L:71%, I:13%, A:6%
S1	70.2%	T:25%, S:23%, A:15%, D:11%, N:7%
S2	88.9%	I:47%, L:29%, V:17%
S3	77.0%	K:26%, S:16%, T:15%, N:14%, R:8%
S4	94.8%	I:48%, V:33%, L:9%, M:6%
S5	85.9%	V:44%, L:29%, I:19%
S6	37.9%	S:41%, T:18%, V:17%, L:5%
S7	97.1%	V:77%, I:14%, L:5%
S8	90.3%	V:67%, I:25%, L:5%
S9	97.3%	C:89%, A:8%
S10	98.0%	W:99%
S11	99.5%	C:99%
S12	99.6%	C:90%
S13	99.2%	L:95%
